order,title,start_year,end_year,period,organization,organization_url,affiliation,affiliation_url,notes,visible
1,Professor,2013,present,2013-present,Information Management and Finance,https://imf.nycu.edu.tw/imf/ch/app/artwebsite/view?module=artwebsite&id=20407&serno=e4c79e99-f5e7-48cc-b320-d50b463c5c14,National Yang Ming Chiao Tung University,https://www.nycu.edu.tw/,,TRUE
2,執行長,2025,present,2025-present,Executive Master of Business Administration,https://emba.nycu.edu.tw/zh_tw/People/Faculty/%E6%88%B4%E5%A4%A9%E6%99%82-51786104,National Yang Ming Chiao Tung University,https://www.nycu.edu.tw/,,TRUE
3,理事,2021,present,2021-present,FeAT 台灣財務工程學會,http://www.feat.org.tw/Team.php?ID=14,,,,TRUE
4,研究員,2020,present,2020-present,台灣AI卓越中心,https://twaicoe.org/%E6%88%B4%E5%A4%A9%E6%99%82-,,,,TRUE
5,研究員,2020,present,2020-present,人工智慧普適研究中心 PAIR Labs,https://pairlabs.ai/%e7%94%a2%e5%ad%b8%e5%90%88%e4%bd%9c/%e6%99%ba%e6%85%a7%e9%87%91%e8%9e%8d/,,,,TRUE
6,研究員,2020,present,2020-present,國立政治大學商學院金融研究中心,http://www.nn-ip.url.tw/index.php/component/sppagebuilder/76-,,,,TRUE
7,研究員,2023,present,2023-present,數位金融創新實驗室,https://digitalfin.tw/about_11,,,,TRUE
8,研究委員,2022,present,2022-present,政治大學商學院 風險與保險研究中心,https://www.rirc.tw/%e6%88%b4%e5%a4%a9%e6%99%82%e6%95%99%e6%8e%88/,,,,TRUE
9,學術顧問,2022,present,2022-present,台灣量化交易協會,https://tiqt.org.tw/consultation/,,,,TRUE
10,Senior Fellow,2021,present,2021-present,Advance Higher Education,https://www.facebook.com/photo/?fbid=10161142339044829&set=a.10150169893009829,,,,TRUE
11,Faculty Membership,2021,present,2021-present,Beta Gamma Sigma,https://www.facebook.com/photo/?fbid=10161042313854829&set=a.10150169893009829,,,,TRUE
12,Associate Dean,2016,2022,2016-2022,College of Management,http://www.com.nctu.edu.tw/,National Chiao Tung University,http://www.nctu.edu.tw/,,TRUE
13,理事,2018,2020,2018-2020,台灣商管學會,,,,,TRUE
14,Chairman,2016,2019,2016-2019,Department of Information Management and Finance,https://imf.nctu.edu.tw/,National Chiao Tung University,http://www.nctu.edu.tw/,,TRUE
15,財會學門複審委員,2016,2018,2016-2018,科技部,https://www.nstc.gov.tw/,,,,TRUE
16,公共債務管理委員會委員,2015,2017,2015-2017,新竹市政府,https://www.hccg.gov.tw/ch/index.jsp,,,,TRUE
17,Director,2014,2019,2014-2019,Institute of Finance,http://www.finance.nctu.edu.tw/,National Chiao Tung University,http://www.nctu.edu.tw/,,TRUE
18,Associate Professor,2009,2013,2009-2013,Department of Information and Financial Management,https://imf.nctu.edu.tw/,National Chiao Tung University,http://www.nctu.edu.tw/,"Institute of Finance and Institute of Information Management",TRUE
19,Assistant Professor,2006,2009,2006-2009,Department of Information and Financial Management,https://imf.nctu.edu.tw/,National Chiao Tung University,http://www.nctu.edu.tw/,Institute of Information Management,TRUE
20,Assistant Professor,2004,2006,2004-2006,Department of Applied Mathematics,http://www.math.cycu.edu.tw,Chung Yuan Christian University,http://www.cycu.edu.tw/,,TRUE
