order,category,year,title,title_url,authors,venue,code_label,code_url,visible
1,Journal,2026,Contingent capital: A tale of two valuations,https://onlinelibrary.wiley.com/doi/10.1111/jori.70065,"Tian-Shyr Dai, Chien-Ling Lo, You-Jia Sun, Hao-Han Chang",Journal of Risk and Insurance,,,TRUE
2,Journal,2026,Reverse Mortgages with Long-Term Care Cost Coverage: The Role of Health State Granularity in Valuing Prepayment Options,https://www.sciencedirect.com/science/article/pii/S0167668726000430,"Tian-Shyr Dai, Liang-Chih Liu, Shang-Hung Tsao, Sharon S. Yang","Insurance: Mathematics and Economics, 2026, 103253",,,TRUE
3,Journal,2025,Optimizing stock portfolios with deep reinforcement learning after FNN-based fundamental analysis,https://www.tandfonline.com/doi/full/10.1080/14697688.2025.2604770,"You-Jia Sun, Zong-Yu Lu, Chia-Hung Liao, Tian-Shyr Dai, Shyan-Ming Yuan",Quantitative Finance,,,TRUE
4,Journal,2025,Unconventional Refinement for VECM-Based Pairs Trading Strategy through Asymptotic Properties,https://link.springer.com/article/10.1007/s10614-025-11227-1,"Tian-Shyr Dai, Hung-Sheng Kuo, Hao-Han Chang, Tzu-Chi Huang, Chu-Lan Michael Kao",Computational Economics,,,TRUE
5,Journal,2025,Fund Transfer Fraud Detection: Analyzing Irregular Transactions and Customer Relationships with Self-Attention and Graph Neural Networks,https://www.sciencedirect.com/science/article/pii/S0957417424020785,"Yi-Cheng Shih, Tian-Shyr Dai, Ying-Ping Chen, Yen-Wu Ti, Wun-Hao Wang, Yun Kuo","Expert Systems with Applications, 259 (2025): 125211",,,TRUE
6,Journal,2024,Asymptotic Analyses for Trend-Stationary Pairs Trading Strategy in High-Frequency Trading,https://link.springer.com/article/10.1007/s11156-024-01293-1,"Tian-Shyr Dai, Yi-Jen Luo, Hao-Han Chang, Chu-Lan Kao, Kuan-Lun Wang, Liang-Chih Liu","Review of Quantitative Finance and Accounting, 63(4), 1391-1411",,,TRUE
7,Journal,2024,Constructing Optimal Portfolio Rebalancing Strategies with a Two-Stage Multiresolution-Grid Model,https://link.springer.com/article/10.1007/s10614-024-10555-y,"Tian-Shyr Dai, B. J. Chen, You-Jia Sun, D. Y. Yang, M. E. Wu","Computational Economics, 64(5), 3117-3142",Code,https://github.com/CamelDai/Optimal-Portfolio-Rebalancing-with-Multiresolution-Grid,TRUE
8,Journal,2024,Improving cointegration-based pairs trading strategy with asymptotic analyses and convergence rate filters,https://link.springer.com/article/10.1007/s10614-023-10539-4,"Yen-Wu Ti, Tian-Shyr Dai, Kuan-Lun Wang, Hao-Han Chang, You-Jia Sun","Computational Economics, 64(5), 2717-2745",,,TRUE
9,Journal,2024,On the Design of Bail-in-able Bonds from the Perspective of Non-Financial Firms,https://www.sciencedirect.com/science/article/abs/pii/S1059056023003088,"Liang-Chih Liu, Tian-Shyr Dai, Lei Zhou","International Review of Economics and Finance, 89 (2024): 1136-1155",,,TRUE
10,Journal,2023,"Pricing Tenure Payment Reverse Mortgages with Optimal Exercised Prepayment Options under House Price, Interest Rate, and Mortality Risk",https://www.tandfonline.com/doi/full/10.1080/14697688.2023.2223649,"Tian-Shyr Dai, Sharon S. Yang, Liang-Chih Liu","Quantitative Finance, 23(9), 1325-1339",,,TRUE
